decision_date,ticker,ticker_raw,asset_class,issuer_name,specification,isin,observed_at,close_price_brl,average_daily_value_brl,trading_days,trade_count,quantity,source,universe_year
2018-01-02,CZLT33.SA,CZLT33,bdr,COSAN LTD,DR3,BRCZLTBDR009,2018-01-02,32.95,8069754.716666667,60,436,110100,B3 COTAHIST official annual file; last trading session 2018-01-02; 60-session average traded value,2018
2018-01-02,GBIO33.SA,GBIO33,bdr,BIOTOSCANA,DR3,BRGBIOBDR008,2018-01-02,20.47,6431386.566666666,60,749,132500,B3 COTAHIST official annual file; last trading session 2018-01-02; 60-session average traded value,2018
2018-01-02,DAGB33.SA,DAGB33,bdr,DUFRY AG,DR3,BRDAGBBDR008,2018-01-02,485.0,1716428.5563333333,60,81,1687,B3 COTAHIST official annual file; last trading session 2018-01-02; 60-session average traded value,2018
2018-01-02,AMZO34.SA,AMZO34,bdr,AMAZON,DRN,BRAMZOBDR002,2018-01-02,1940.8,602391.625,32,2,500,B3 COTAHIST official annual file; last trading session 2018-01-02; 60-session average traded value,2018
2018-01-02,VISA34.SA,VISA34,bdr,VISA INC,DRN,BRVISABDR000,2018-01-02,373.6,516603.6274509804,51,1,200,B3 COTAHIST official annual file; last trading session 2018-01-02; 60-session average traded value,2018
2018-01-02,AAPL34.SA,AAPL34,bdr,APPLE,DRN,BRAAPLBDR004,2018-01-02,56.3,493615.6,60,4,900,B3 COTAHIST official annual file; last trading session 2018-01-02; 60-session average traded value,2018
2018-01-02,NFLX34.SA,NFLX34,bdr,NETFLIX,DRN,BRNFLXBDR000,2018-01-02,657.2,442339.95652173914,23,7,7600,B3 COTAHIST official annual file; last trading session 2018-01-02; 60-session average traded value,2018
2018-01-02,GOGL34.SA,GOGL34,bdr,ALPHABET,DRN A,BRGOGLBDR001,2018-01-02,139.68,423086.4827586207,58,2,2600,B3 COTAHIST official annual file; last trading session 2018-01-02; 60-session average traded value,2018
2018-01-02,HOME34.SA,HOME34,bdr,HOME DEPOT,DRN,BRHOMEBDR002,2018-01-02,307.79,350573.34,50,2,600,B3 COTAHIST official annual file; last trading session 2018-01-02; 60-session average traded value,2018
2018-01-02,JNJB34.SA,JNJB34,bdr,JOHNSON,DRN,BRJNJBBDR002,2018-01-02,453.9,335490.34,50,2,700,B3 COTAHIST official annual file; last trading session 2018-01-02; 60-session average traded value,2018
2018-01-02,PEPB34.SA,PEPB34,bdr,PEPSICO INC,DRN,BRPEPBBDR005,2018-01-02,386.95,324673.4888888889,45,2,500,B3 COTAHIST official annual file; last trading session 2018-01-02; 60-session average traded value,2018
