decision_date,ticker,ticker_raw,asset_class,issuer_name,specification,isin,observed_at,close_price_brl,average_daily_value_brl,trading_days,trade_count,quantity,source,universe_year
2019-01-02,GBIO33.SA,GBIO33,bdr,BIOTOSCANA,DR3,BRGBIOBDR008,2019-01-02,8.52,2293658.9,60,582,124600,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,WSON33.SA,WSON33,bdr,WILSON SONS,DR3,BRWSONBDR009,2019-01-02,39.61,1818580.45,60,11,2900,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,AMZO34.SA,AMZO34,bdr,AMAZON,DRN,BRAMZOBDR002,2019-01-02,2953.46,1753655.3725490195,51,5,500,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,CVSH34.SA,CVSH34,bdr,CVS HEALTH,DRN,BRCVSHBDR008,2019-01-02,124.84,1350362.9333333333,15,5,27500,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,AAPL34.SA,AAPL34,bdr,APPLE,DRN,BRAAPLBDR004,2019-01-02,60.41,1175134.2166666666,60,45,16800,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,GOGL34.SA,GOGL34,bdr,ALPHABET,DRN A,BRGOGLBDR001,2019-01-02,161.37,1162312.5166666666,60,13,4500,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,MSFT34.SA,MSFT34,bdr,MICROSOFT,DRN,BRMSFTBDR005,2019-01-02,388.13,1045223.3220338983,59,3,5900,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,VISA34.SA,VISA34,bdr,VISA INC,DRN,BRVISABDR000,2019-01-02,509.86,943144.2115384615,52,1,400,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,GILD34.SA,GILD34,bdr,GILEAD,DRN,BRGILDBDR000,2019-01-02,122.13,847139.7407407408,27,1,4200,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,WALM34.SA,WALM34,bdr,WAL MART,DRN,BRWALMBDR005,2019-01-02,88.73,819355.8571428572,56,4,33100,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,HOME34.SA,HOME34,bdr,HOME DEPOT,DRN,BRHOMEBDR002,2019-01-02,330.41,815807.3773584906,53,1,1300,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
